拼命/拼死[必死](名/形2) ひっし
失业[失業](名/サ变自) しつぎょう
孵化[孵化する](名/サ变自他) ふかする
蝌蚪(名) オタマジャクシ
青蛙(名) カエル
缓慢/缓和(形2) ゆるやか
冲过来/迫近[打ち寄せる](动2自) うちよせる
拉近/吸引[引き寄せる](动2他) ひきよせる
拉上来/拽上来[手繰り寄せる](动2他) たぐりよせる
海边/湖滨[浜辺](名) はまべ
缆绳[綱](名) つな
漂流的木材[流木](名) りゅうぼく
爽快/畅快[心地よい](形1) ここちよい
轻声细语/低声私语(动1他) ささやく
刮过/穿过[吹き抜ける](动2自) ふきぬける
闪烁/摇曳/眨眼(动1自) またたく
凝视[見入る](动1自他) みいる
川越[川越](专) かわごえ
遗迹/痕迹/残余[名残](名) なごり
最长[最長](名) さいちょう
最短[最短](名) さいたん
借款/贷款(名) ローン
还债/还/偿还[返済する](名/サ变他) へんさいする
加薪/增薪[賃上げ](名) ちんあげ
年薪制[年俸制](名) ねんぽうせい
刑警[刑事](名) けいじ
跑到/跑去/跑来[駆けつける](动2自) かけつける
遇险/遇难[遭難する](名/サ变自) そうなんする
救出[救出する](名/サ变他) きゅうしゅつする
命/一命[一命](名) いちめい
保住[取り留める](动2他) とりとめる
重伤[重傷](名) じゅうしょう
遭受/蒙受[負う](动1他) おう
刺激/打击/冲击(名) ショック
狮子(名) ライオン
斑马(名) シマウマ
严酷[厳しさ](名) きびしさ
极限/限度/范围/界限[限界](名) げんかい
命令[命令](名/サ变他) めいれい
解除[解除する](名/サ变他) かいじょする
理发店[理髪店](名) りはつてん
建筑公司[工務店](名) こうむてん
写作/以写作为业[文筆業](名) ぶんぴつぎょう
运输业[運送業](名) うんそうぎょう
海产/海味[海の幸](名) うみのさち
山中土产/山珍[山の幸](名) やまのさち
