尽量(副) なるたけ
够戗/反常/不正常 どうかしている
保住了一条命[一命を取り留める] いちめいをとりとめる
无法用语言形容[言語に絶する] げんごにぜっする
动手/着手[手をつける] てをつける
单身/只身/一个人[単身](名) たんしん
燃料[燃料](名) ねんりょう
东京都市民[都民](名) とみん
战争灾难[戦災](名) せんさい
大雪[大雪](名) おおゆき
对方/对面[向こう](名) むこう
座谈会[座談会](名) ざだんかい
南美[南米](专) なんべい
矿山[鉱山](名) こうざん
冒顶/塌方[落盤](名) らくばん
地下[地下](名) ちか
关在里面[閉じ込める](动2他) とじこめる
拉上来/提起来[引き上げる](动2他) ひきあげる
互相拥抱[抱き合う](动1他) だきあう
相互表达喜悦[喜び合う](动1他) よろこびあう
电光显示板[電光掲示板](名) でんこうけいじばん
警报[注意報](名) ちゅういほう
必需品[必需品](名) ひつじゅひん
极光(名) オーロラ
冠军(名) チャンピオン
跟在后面的车辆[後続車](名) こうぞくしゃ
发烟警报器[発煙筒](名) はつえんとう
行车/行驶[走行](名/サ变自) そうこう
车道[車線](名) しゃせん
人祸/人灾[人災](名) じんさい
挖/挖掘[掘る](动1他) ほる
挖掘[掘削](名/サ变他) くっさく
钻/钢钻(名) ドリル
严酷/残酷[過酷](形2) かこく
加拿大(专) カナダ
近邻/邻近[近隣](名) きんりん
搬入[搬入する](名/サ变他) はんにゅうする
宿营地[～村](名) キャンプむら
守护/注视[見守る](动1他) みまもる
心意/心情/意思/意义[意](名) い
下水道/下水沟[排水溝](名) はいすいこう
洗碗池/水池子[流し](名) ながし
排水管[排水管](名) はいすいかん
吃剩的食物[食べ残し](名) たべのこし
厨用餐巾纸(名) キッチンペーパー
