水资源[水資源](名) みずしげん
富有/赋予[恵まれる](动2自) めぐまれる
水龙头[蛇口](名) じゃぐち
扭转/拧/扭/费尽心机[ひねる](动1他) ひねる
止境/尽头[際限](名) さいげん
开水和水[湯水](名) ゆみず
前提[前提](名) ぜんてい
惯用句/惯用语[慣用句](名) かんようく
这是因为(连) というのも
日常生活/身边衣物[身の回り](名) みのまわり
图表/图/图案[図](名) ず
牧草[牧草](名) ぼくそう
棉花[綿花](名) めんか
间接的[間接的](形2) かんせつてき
假设/假如[仮に](副) かりに
不能没有/不可或缺[不可欠](名/形2) ふかけつ
物质上(的)[物質的](形2) ぶっしつてき
需求/需要[需要](名) じゅよう
预测/预想/估计[見通し](名) みとおし
直接关系到[直結する](名/サ变自他) ちょっけつする
原因/缘由[所以](名) ゆえん
冰川/冰河[氷河](名) ひょうが
除去/去除[除く](动1他) のぞく
容易[容易](形2) ようい
淡水[淡水](名) たんすい
当务之急/紧急事务[急務](名) きゅうむ
地下水[地下水](名) ちかすい
生活污水[生活排水](名) せいかつはいすい
工业废水[工業廃水](名) こうぎょうはいすい
废水/污水[廃水](名) はいすい
巨大/巨量/庞大[膨大](形2) ぼうだい
即/也就是说(连) すなわち
净化池[浄化槽](名) じょうかそう
污水/脏水/下水道[下水](名) げすい
洗刷餐具[食器洗い](名) しょっきあらい
排出的污水/排水[排水](名/サ变自他) はいすい
多方注意[配る](动1他) くばる
负荷/负载[負荷](名) ふか
化石燃料[化石燃料](名) かせきねんりょう
持续的[持続的](形2) じぞくてき
节水/节约用水[節水](名/サ变自他) せっすい
废弃[廃棄](名/サ变他) はいき
物品/品目/品种[品目](名) ひんもく
橘子(名) オレンジ
玉米(名) トウモロコシ
