神殿(神殿)[名] しんでん
街上/市内/街里(町中)[名] まちなか
增税/加税(増税)[名/サ变自他] ぞうぜい
展览会[名] フェア
各人(各人)[名] かくじん
服装(衣装)[名] いしょう
有机(有機)[名] ゆうき
那么/那样[副] そんなに
那么/那种程度[副] それほど
昨天晚上(昨夜)[名] さくや
早晨(朝方)[名] あさがた
侄子[名] おい
缝纫机[名] ミシン
性能(性能)[名] せいのう
日本造英语词(和製英語)[名] わせいえいご
住宅(邸宅)[名] ていたく
冷藏(保冷)[名] ほれい
日本造外来词(和製洋語)[名] わせいようご
小量勺(小さじ)[名] こさじ
课文(本文)[名] ほんぶん
决断/果断(決断)[名/サ变自他] けつだん
雄壮/宏伟(雄大)[形2] ゆうだい
泰山(泰山)[专] たいざん
偶然/突然/忽然[副] ふと
小雨(小雨)[名] こさめ
下山(下山する)[名/サ变自] げざんする
很/颇/相当[副] よほど
悄悄地/偷偷地[副] そっと
喜欢/爱慕(好く)[动1他] すく
非常便宜/格外廉价(格安)[名/形2] かくやす
机票(航空券)[名] こうくうけん
染指甲[名] マニキュア
细长/纤细[副] ほっそり
下线部分(下線部)[名] かせんぶ
替换(替える)[动2他] かえる
会话(会話)[名/サ变自] かいわ
肚子饿(腹ぺこ)[名] はらぺこ
饿/瘪[副] ぺこぺこ
疲惫[动2自] くたびれる
奶酪粉(粉～)[名] こなチーズ
另外/还有[连] それと
站着闲谈(立ち話)[名] たちばなし
潮乎乎/湿润[副] じめじめ
雨量(雨量)[名] うりょう
水灾(水害)[名] すいがい
