大麦[大麦](名) おおむぎ
大豆/黄豆[大豆](名) だいず
精米[精米](名/サ变自) せいまい
山羊肉[山羊肉](名) やぎにく
日用品[日用品](名) にちようひん
农畜产品[農畜産物](名) のうちくさんぶつ
茶叶[茶葉](名) ちゃば
熟咖啡豆[煎り豆](名) いりまめ
甘蔗(名) サトウキビ
平均值[平均値](名) へいきんち
挥金如土[湯水のように使う] ゆみずのようにつかう
既往不咎[水に流す] みずにながす
注意/留意[気を配る] きをくばる
继承[相続する](名/サ变他) そうぞくする
财产[財産](名) ざいさん
施恩惠/施舍/救济[恵む](动1他) めぐむ
申办/取得[取得する](名/サ变他) しゅとくする
上述[上述](名/サ变他) じょうじゅつ
前述[前述](名/サ变他) ぜんじゅつ
后述[後述](名/サ变他) こうじゅつ
天然[天然](名) てんねん
贫乏/缺乏[乏しい](形1) とぼしい
阁僚/阁员/部长[閣僚](名) かくりょう
不开馆/休馆[休館](名/サ变自他) きゅうかん
神奈川[神奈川](专) かながわ
群马[群馬](专) ぐんま
栃木[栃木](专) とちぎ
千叶[千葉](专) ちば
成立/发起/开始活动[発足する](名/サ变自) ほっそくする
山地[山地](名) さんち
农耕[農耕](名) のうこう
后方/后面[後方](名) こうほう
照料/照顾[気配り](名/サ变自) きくばり
周到/周密[行き届く](动1自) いきとどく
登顶[登頂](名/サ变自) とうちょう
冬季登山/冬季的荒山[冬山](名) ふゆやま
装备[装備](名/サ变他) そうび
把斋/绝食[断食](名/サ变自) だんじき
日落[日没](名) にちぼつ
夜间[夜間](名) やかん
听取/听力/听懂[聞き取り](名) ききとり
发送(短信邮件)/发报/播送[送信](名/サ变他) そうしん
铀(名) ウラン
矿物[鉱物](名) こうぶつ
小国[小国](名) しょうこく
