一个月[月間](名) げっかん
店铺/门店[店舗](名) てんぽ
三越[三越](专) みつこし
重新装修/改换包装[改装](名/サ变他) かいそう
开张,开业[開店](名/サ变自) かいてん
流动/潮流[流れ](名) ながれ
有限[有限](名/形2) ゆうげん
栽种/耕种/播种[作付け](名/サ变他) さくづけ
生长/繁殖[生育](名/サ变自他) せいいく
大量/很多/无数/非常/很(形1) おびただしい
广大/广阔[広大](形2) こうだい
食物/食品[食物](名) しょくもつ
一丝不苟/严格/规矩[几帳面](形2) きちょうめん
川崎[川崎](专) かわさき
铁矿石/铁砂[鉄鉱石](名) てっこうせき
优点/长处(名) メリット
擦去/抹掉/擦掉[拭き取る](动1他) ふきとる
生/长/发[生える](动2自) はえる
饭前[食前](名) しょくぜん
软线(名) コード
插座(名) コンセント
看家/留守[留守番する](名/サ变自) るすばんする
显著/明显[著しい](形1) いちじるしい
蒸馏水[蒸留水](名) じょうりゅうすい
矿泉水[鉱泉水](名) こうせんすい
熬夜[夜更かし](名/サ变自) よふかし
早睡[早寝](名/サ变自) はやね
醒/觉醒/清醒[覚める](动2自) さめる
听力[聴解](名) ちょうかい
开采/采矿[採掘](名/サ变他) さいくつ
粉尘[粉塵](名) ふんじん
西部[西部](名) せいぶ
炼铁/制铁[製鉄](名/サ变自) せいてつ
船体/船身[船体](名) せんたい
槽/罐/箱(名) タンク
输送/运输[輸送](名/サ变他) ゆそう
铁桶/汽油桶[～缶](名) ドラムかん
双动力汽车(名) ハイブリッドカー
坐进/乘坐/开进[乗り込む](动1自) のりこむ
顺路/经过的道路/通道[通り道](名) とおりみち
通行/通过[通行](名/サ变自) つうこう
双动力(名) ハイブリッド
电动汽车[電気自動車](名) でんきじどうしゃ
下一代输电网[次世代送電網](名) じせだいそうでんもう
可再生能源[再生可能～](名) さいせいかのう
