空调[空調](名) くうちょう
恐慌(名) パニック
陷入/掉进[陥る](动1自) おちいる
供给/提供[供給する](名/サ变他) きょうきゅうする
高性能电网(名) スマートグリッド
电缆/电线[送電線](名) そうでんせん
单向通行[一方通行](名) いっぽうつうこう
极其/再也没有[極まりない](形1) きわまりない
信息技术[情報技術](名) じょうほうぎじゅつ
有效利用/实际应用[活用する](名/サ变他) かつようする
空间[空間](名) くうかん
调配/通融/随机应变/畅通[融通する](名/サ变他) ゆうずうする
输电/送电[送電](名/サ变自他) そうでん
配合/编组[組み合わす](动1他) くみあわす
智能电表(名) スマートメーター
网络(名) ネットワーク
阻力/电阻/抵抗/反抗[抵抗](名/サ变自) ていこう
方式[方式](名) ほうしき
水力[水力](名) すいりょく
输出[出力](名/サ变他) しゅつりょく
输配电[送配電](名) そうはいでん
盛夏/炎夏[真夏](名) まなつ
顶峰/峰值(名) ピーク
停止工作/(轮胎)爆胎(名/サ变自) パンクする
余地/富余[余裕](名) よゆう
自动的[自動的](形2) じどうてき
减少/节省/省略[省く](动1他) はぶく
太阳能/太阳光[太陽光](名) たいようこう
活动/运行[営み](名) いとなみ
半永久性的[半永久的](形2) はんえいきゅうてき
另一方面[反面](副) はんめん
影响/左右[左右する](名/サ变他) さゆうする
推动/促进[促進する](名/サ变他) そくしんする
基础设施(名) インフラ
定位/确定[位置づける](动2他) いちづける
另一方面/而[他方](副) たほう
激增/急剧增加[急増する](名/サ变自) きゅうぞうする
走在前面/优先实行/先行实施[先行する](名/サ变自) せんこうする
工厂(名) プラント
接着/继……之后(动1自) つぐ
市场占有率/份额(名) シェア
主导的/主动的[主導的](形2) しゅどうてき
举国/全国[国を挙げる] くにをあげる
探险队[探検隊](名) たんけんたい
不礼貌/无礼[無礼](形2) ぶれい
