厂长[工場長](名) こうじょうちょう
近郊[近郊](名) きんこう
净化[浄化する](名/サ变他) じょうかする
水冲/水洗[水洗](名) すいせん
原理[原理](名) げんり
微型/微量(名) マイクロ
真正的/正式的[本格的](形2) ほんかくてき
实物[実物](名) じつぶつ
维持/勉强支持/提供/供给饭食(动1他) まかなう
照明[照明](名) しょうめい
减轻/降低/减少[低減](名/サ变他) ていげん
控制板/配电盘(名) コントロールパネル
切换/转换/改换[切り替える](动2他) きりかえる
植树[森育](专) もりいく
提倡/主张[提唱する](名/サ变他) ていしょうする
保全[保全](名/サ变他) ほぜん
重要性[大切さ](名) たいせつさ
耳熟/听惯[聞き慣れる](动2自) ききなれる
养育[食育](名/サ变自) しょくいく
笼统/不清晰/含糊[漠然と](副) ばくぜんと
稍微不足(副) いまいち
服务上门/送外卖[出前](名/サ变他) でまえ
登门授课/上门讲课[出前授業](名) でまえじゅぎょう
紧密/密切[密接](形2) みっせつ
养分[養分](名) ようぶん
溶解出来[溶け出す](动1他) とけだす
顺着/沿着[伝う](动1自) つたう
生物[生き物](名) いきもの
海草[海草](名) かいそう
请(对方)观赏[ご覧に入れる] ごらんにいれる
无法分割/极其亲密[切っても切れない] きってもきれない
一直/一贯[一貫する](名/サ变自) いっかんする
致力/专心致志[精進する](名/サ变自) しょうじんする
通用的设计(名) ユニバーサルデザイン
缺点/不足(名) デメリット
听漏/漏听[聞き逃す](动1他) ききのがす
意图/打算/企图[意図](名) いと
包涵/包容/原谅[容赦](名/サ变他) ようしゃ
相同/同样[同様](名/形2) どうよう
合同[契約書](名) けいやくしょ
假装不知/佯装不知(动2自) しらばくれる
运行/动作[動作](名) どうさ
证明[証明する](名/サ变他) しょうめいする
结账/结算/清账[決済する](名/サ变他) けっさいする
回答[回答する](名/サ变自) かいとうする
