分开/区别/分类[分別する](名/サ变他) ぶんべつする
发票/记账单[伝票](名) でんぴょう
京都议定书[京都議定書](专) きょうとぎていしょ
税制[税制](名) ぜいせい
杜会保障费[社会保障費](名) しゃかいほしょうひ
每月[毎月](名) まいつき
博览会[博覧会](名) はくらんかい
过敏症/过敏反应/异常反应(名) アレルギー
花粉[花粉](名) かふん
事物/事情[物事](名) ものごと
积极/正面/正极/加号(名) プラス
负/负号/减号[負](名) ふ
稍显欠缺/稍显不足[今一つ](副) いまひとつ
课外小组活动/班组/圆/圆周(名) サークル
关系/交情/交际[間柄](名) あいだがら
共享/共有[共有する](名/サ变他) きょうゆうする
认真听取/倾听[耳を傾ける] みみをかたむける
会照料婴幼儿的好父亲[育～](名) いくメン
节能/有益环保(名) エコ
迅速/快速[迅速](形2) じんそく
有前途/有希望[有望](形2) ゆうぼう
制法/做法/制作方法[製法](名) せいほう
路线/线路/顺路[順路](名) じゅんろ
蒸煮袋食品[～食品](名) レトルトしょくひん
军队/部队[軍隊](名) ぐんたい
太阳能电池板[太陽光～](名) たいようこうパネル
无论如何/怎么也/无法[到底](副) とうてい
工学系[工学部](名) こうがくぶ
前田[前田](专) まえだ
抗震[耐震](名) たいしん
概要/概略[概要](名) がいよう
快速[快速](名) かいそく
内侧[内側](名) うちがわ
栅栏[柵](名) さく
软席车/头等车(名) グリーンしゃ
自由坐席/不对号入座[自由席](名) じゆうせき
静冈[静岡](专) しずおか
最前/前头/最先[先頭](名) せんとう
车厢/车辆[車両](名) しゃりょう
终点[終点](名) しゅうてん
暂停/暂不/推迟/互看/对照[見合わせる](动2他) みあわせる
老/年老[老いる](动2自) おいる
观赏价值[見ごたえ](名) みごたえ
景德镇[景徳鎮](专) けいとくちん
书法[書](名) しょ
