游泳俱乐部(名) スイミングクラブ
手擀养麦面条[そば打ち](名) そばうち
上心/热中/陷入/掉进(动1自) はまる
器皿/器具[器](名) うつわ
一直没坐下/一直站着[立ちっぱなし] たちっぱなし
现擀/刚擀好[打ちたて] うちたて
不张罗/别费事[お構いなく] おかまいなく
专刊/专辑[特集](名) とくしゅう
厂商/制造商(名) メーカー
雇佣/雇用[雇用](名/サ变他) こよう
现役/应届[現役](名) げんえき
退职/离开/倒退[退く](动1自) しりぞく
充分/完全(副) いかんなく
发挥/施展[発揮する](名/サ变他) はっきする
中间[中間](名) ちゅうかん
管理人员/管理岗位[管理職](名) かんりしょく
中层管理者[中間管理職](名) ちゅうかんかんりしょく
压在…上(动1自) のしかかる
忧裕/宽裕/余地(名) ゆとり
加甚/加重/剧烈化[高じる](动2自) こうじる
个体营业者[自営業](名) じえいぎょう
手工做(面条)/(拍手)成交[手打ち](名) てうち
住宅区[住宅街](名) じゅうたくがい
寒舍/舍间[拙宅](名) せったく
满客/满席[満席](名) まんせき
开门停业/一整天没客人上门[開店休業](名) かいてんきゅうぎょう
即使/哪怕(副) たとえ
打理/处理/料理[切り盛り](名/サ变他) きりもり
陶艺[陶芸](名) とうげい
(并非)完全/(未必)一定(副) まんざら
中午饭/午餐[昼飯](名) ひるめし
公署/政府机关/官署[役所](名) やくしょ
各处品尝[食べ歩く](动1他) たべあるく
使……入迷/夺人魂魄[魅了する](名/サ变他) みりょうする
忠告/劝告[忠告](名/サ变他) ちゅうこく
住宿学徒/住宿佣工[住み込み](名) すみこみ
修炼/修业/学习技术[修業](名/サ变他) しゅぎょう
无职业者/无职业[無職](名) むしょく
鸭川[鴨川](专) かもがわ
工作服[作業服](名) さぎょうふく
黎明/拂晓[夜明け](名) よあけ
人影[人影](名) ひとかげ
清爽[清々しい](形1) すがすがしい
市场/集市[市場](名) いちば
精力/劲头[精](名) せい
