偷工减料[手抜き](名) てぬき
朝阳[朝日](名) あさひ
水灵/娇嫩(形1) みずみずしい
样子/状态[様](名) さま
怎么也/什么也(副) なんとも
充满/填充[満たす](动1他) みたす
移居/搬家[移り住む](动1自) うつりすむ
适度[適度](名/形2) てきど
新摘/刚摘[取れたて] とれたて
无可奈何[仕方なしに] しかたなしに
不觉得难受[悪い気がしない] わるいきがしない
(有人)提出要求[注文が入る] ちゅうもんがはいる
磨练本领[腕を磨く] うでをみがく
坚持工作/努力干活[精を出す] せいをだす
精心照料[手をかける] てをかける
搭功夫/费事[手間をかける] てまをかける
感到负担/伤脑筋/苦恼[苦になる] くになる
验算/核对[検算](名/サ变他) けんざん
欺骗(动1他) だます
骗取[だまし取る](动1他) だましとる
修好/改正过来/复原[直る](动1自) なおる
遗产[遺産](名) いさん
拙著[拙著](名) せっちょ
犬子[愚息](名) ぐそく
拙荆/贱内[愚妻](名) ぐさい
愚见/拙见[愚考](名/サ变自他) ぐこう
小店[小店](名) しょうてん
拙作/小作[小著](名) しょうちょ
拙文/小文[小文](名) しょうぶん
小店/敝店[弊店](名) へいてん
敝刊[弊誌](名) へいし
本航班[当機](名) とうき
起飞[離陸する](名/サ变自) りりくする
一国[一国](名) いっこく
言行[言動](名) げんどう
内阁[内閣](名) ないかく
断然实行[断行する](名/サ变他) だんこうする
管/顾/介意(动1他) かまう
生气[腹が立つ] はらがたつ
恐怕/大概(副) おそらく
下线[下線](名) かせん
兴趣相投者组成的团体[同好会](名) どうこうかい
不上学/不愿上学[不登校](名) ふとうこう
怕/害怕[怖がる](动1自) こわがる
接触/连接[接する](名/サ变自) せっする
