化为…改变装束[変身](名/サ变自) へんしん
模范/字帖[手本] てほん
投稿[投書](名) とうしょ
中老年[熟年](名) じゅくねん
冲浪运动员(名) サーファー
芭堤雅(专) パタヤ
侨居在/居住[在住](名) ざいじゅう
冲浪运动(名) サーフィン
休养地/娱乐地[～地](名) リゾートち
混杂/加入/夹/交往[混じる](动1自) まじる
逐波踏浪[波乗りする](名/サ变自) なみのりする
心安理得/舒心[気が済む] きがすむ
放开/撒开[離す](动1他) はなす
帮忙/帮助[手伝い](名) てつだい
当选[当選する](名/サ变自) とうせんする
纯真/无私心杂念[純粋](名/形2) じゅんすい
世袭[世襲](名/サ变他) せしゅう
官僚[官僚](名) かんりょう
错误认为[思い込み](名) おもいこみ
女大学生[女子大生](名) じょしだいせい
乡镇议员[町会議員](名) ちょうかいぎいん
遭灾[被災する](名/サ变自) ひさいする
国会议员[国会議員](名) こっかいぎいん
也没怎么[どうしても何も] どうしてもなにも
清纯的一票[清き一票] きよきいっぴょう
三权[三権](名) さんけん
分立[分立](名/サ变自) ぶんりつ
立法[立法](名) りっぽう
行政[行政](名) ぎょうせい
裁判/仲裁[裁く](动1他) さばく
司法[司法](名) しほう
法院/法庭[裁判所](名) さいばんしょ
权限/职权范围[権限](名) けんげん
权力[権力](名) けんりょく
过度/过火[行き過ぎ](名) いきすぎ
国家权力/主权[国権](名) こっけん
唯一[唯一](名) ゆいいつ
两院(众议院和参议院)[両院](名) りょういん
参议院[参議院](名) さんぎいん
议院[議院](名) ぎいん
组织/机构[組織](名/サ变他) そしき
规定/决定[定める](动2他) さだめる
选举人[選挙人](名) せんきょにん
人种/种族[人種](名) じんしゅ
信仰/信条[信条](名) しんじょう
