门第[門地](名) もんち
歧视/加以区别[差別する](名/サ变他) さべつする
最高法院[最高裁判所](名) さいこうさいばんしょ
下级法院[下級裁判所](名) かきゅうさいばんしょ
民主主义[民主主義](名) みんしゅしゅぎ
意志[意思](名) いし
选拔/选出[選出する](名/サ变他) せんしゅつする
议决/表决[議決](名/サ变他) ぎけつ
二院/两院[二院](名) にいん
角度/观点/视点[視点](名) してん
双重把关/再次确认 ダブルチェック
反映/反射[反映する](名/サ变他) はんえいする
参政[参政](名) さんせい
国家政治/国政[国政](名) こくせい
必要条件/要事[要件](名) ようけん
都道府县[都道府県](名) とどうふけん
市町村[市町村](名) しちょうそん
区域[区域](名) くいき
连续/继续[引き続き](名) ひきつづき
长/首领[長](名) ちょう
国务大臣[国務大臣](名) こくむだいじん
任命[任命する](名/サ变他) にんめいする
条约[条約](名) じょうやく
纷争[争い](名) あらそい
罪行[罪](名) つみ
有无(名) あるなし
法官[裁判官](名) さいばんかん
公正[公正](名/形2) こうせい
审判员制度[裁判員制度](名) さいばんいんせいど
特定[特定](名) とくてい
刑事判决[刑事裁判](名) けいじさいばん
随机/非人为[無作為](名) むさくい
审判员[裁判員](名) さいばんいん
审理/审判[審理](名/サ变他) しんり
著作权法[著作権法](名) ちょさくけんほう
补偿/赔偿[補償](名/サ变他) ほしょう
委托保管[委託](名/サ变他) いたく
委托保管部门[委託所](名) いたくじょ
适用[準用する](名/サ变他) じゅんようする
确知[確知する](名/サ变他) かくちする
该/有关[当該](名) とうがい
涉及/关联[係る](动1自) かかる
有/享有[有する](サ变他) ゆうする
著作物[著作物](名) ちょさくぶつ
特例[特例](名) とくれい
