阴沉沉/浑浊/不明亮(副) どんより
大葱/葱(名) ネギ
斜着切[斜め切り](名) ななめぎり
汤汁/汤料(名) だし
酱油[醤油](名) しょうゆ
煮开[煮立てる](动2他) にたてる
柔软/蔫(副) しんなり
成形/凝固[固まる](动1自) かたまる
清炖猪肉[ゆで豚](名) ゆでぶた
清炖/煮(动2他) ゆでる
块儿/疙瘩[塊](名) かたまり
佐料/调料计(名) たれ
冷却/弄凉[冷ます](动1他) さます
润泽/湿润(副) しっとり
莴苣(名) レタス
大点儿/富裕点[大きめ](名) おおきめ
黄瓜(名) キュウリ
薄片/切薄片[薄切り](名) うすぎり
圣女果/小西红柿(名) プチトマト
蛋黄酱(名) マヨネーズ
定期地[定期的](形2) ていきてき
彻底/最后/到底(副) とことん
过年[年越しする](名·サ变自) としこしする
如果那样/要是那样的话(连) そしたら
岂止是那样 というか
反倒/反过来[逆に] ぎゃくに
通讯/音信[便り](名) たより
日本的[日本的](形2) にほんてき
这个那个地/各方面[何かと](副) なにかと
熟悉的(名) なじみ
吃喝[飲み食いする](名·サ变他) のみくいする
至少/哪怕是……(副) せめて
理睬/搭理/理会/争夺/夺取[取り合う](动1自他) とりあう
年幼/年岁较小[年下](名) としした
弄碎/研碎/压碎/弄坏(动1他) つぶす
耻辱/羞耻[恥](名) はじ
不得已(副) やむをえず
还礼/答谢/答谢礼品[お返し](名) おかえし
办公室(名) オフィス
证明/证据[証し](名) あかし
大连[大連](专) だいれん
商业谈判/贸易谈判[商談](名) しょうだん
风情[風情](名) ふぜい
能手/干将/接受工作的人[やり手](名) やりて
闲谈/闲聊[雑談](名·サ变自) ざつだん
