长官[長官](名) ちょうかん
裁定[裁定](名/サ变他) さいてい
不服[不服](名/形2) ふふく
及/和[並びに](连) ならびに
拒绝/阻挡[拒む](动1他) こばむ
检讨书/书面检查[始末書](名) しまつしょ
不正常/故障[不具合](名) ふぐあい
起诉[起訴する](名/サ变他) きそする
协定[協定](名/サ变他) きょうてい
刻意/敢/硬(副) あえて
新品种[新種](名) しんしゅ
蝴蝶(名) チョウ
亚马逊河[～川](专) アマゾンがわ
上流/上游[上流](名) じょうりゅう
如何/怎样(名) いかん
禁止[禁止](名/サ变他) きんし
长相/外表/外观[見かけ](名) みかけ
纯情/天真[純情](名/形2) じゅんじょう
青年[青年](名) せいねん
适用/应用[適用する](名/サ变他) てきようする
正式职员[正社員](名) せいしゃいん
结果/结局/终结[結末](名) けつまつ
最终的[最終的](形2) さいしゅうてき
作出/下[下す](动1他) くだす
奖学金/助学金[奨学金](名) しょうがくきん
优先的[優先的](形2) ゆうせんてき
投票[投票する](名/サ变自) とうひょうする
桥本[橋本](专) はしもと
拆毁后的遗迹/拆迁地[跡地](名) あとち
浪速大学[浪速大学](专) なにわだいがく
大学校园(名) キャンパス
文体[文体](名) ぶんたい
合理的[合理的](形2) ごうりてき
笔者/作者[筆者](名) ひっしゃ
指示词[指示詞](名) しじし
志愿/志望[志望](名/サ变他) しぼう
会章/会的规则[会則](名) かいそく
第二次世界大战[第二次世界大戦](名) だいにじせかいたいせん
提前/事先[前もって](副) まえもって
领事馆[領事館](名) りょうじかん
母亲节[母の日](名) ははのひ
日语培训班[日本語教室](名) にほんごきょうしつ
阻止/制止[制する](サ变他) せいする
门厅/玄关[玄関](名) げんかん
准备/预备[支度する](名/サ变他) したくする
