阿姨(名) おばさん
不负责任[無責任](名/形2) むせきにん
看到/看见[見当たる](动1自) みあたる
无故惊扰旁人[人騒がせ](名/形2) ひとさわがせ
起居室(名) リビングルーム
目不转睛/瞪(副) まじまじ
盯看/凝视[見つめる](动2他) みつめる
根深蒂固[根強い](形1) ねづよい
显露/变得明显[浮かび上がる](动1自) うかびあがる
总务省[総務省](专) そうむしょう
双职工/夫妇都上班[共働き](名) ともばたらき
家庭/门户[世帯](名) せたい
专职主妇[専業主婦](名) せんぎょうしゅふ
细目/详细内容[内訳](名) うちわけ
分担[分担](名/サ变他) ぶんたん
注/注解[注](名) ちゅう
护理/看护[看護](名/サ变他) かんご
休息/休养[休養](名/サ变自) きゅうよう
放松/舒畅/轻松自在(名) くつろぎ
正式/正规[正規](名) せいき
计时工(名) パート
派遣工[派遣社員](名) はけんしゃいん
出处[出典](名) しゅってん
依然/仍然[依然](副) いぜん
回家[帰宅する](名/サ变自) きたくする
全职/全班时间(名) フルタイム
处理/做完(动1他) こなす
不得已[余儀ない](形1) よぎない
窥见/看出(动1他) うかがう
人生阶段(名) ライフステージ
未婚[未婚](名) みこん
已婚[既婚](名) きこん
入学儿童[就学児](名) しゅうがくじ
时机/机会[機](名) き
并不那么(副) さほど
琐事/杂务[雑事](名) ざつじ
活动/仪式[行事](名) ぎょうじ
聚会/集会[会合](名/サ变自) かいごう
红白喜事/庆吊仪式[冠婚葬祭](名) かんこんそうさい
服务/奉献[奉仕](名/サ变自) ほうし
看明白/领会/读懂[読み取る](动1他) よみとる
最小的孩子[末子](名) まっし
属/属于[属する](サ变自) ぞくする
强迫/强使[強いる](动2他) しいる
旗手/担当的人/挑东西的人[担い手](名) にないて
