做饭/烹调[炊事](名/サ变自) すいじ
基本上[基本的](形2) きほんてき
承担[担う](动1他) になう
总结(名) まとめ
态势/结构/构架[構図](名) こうず
仍然/还(副) いまだ
束缚/限制/拘束[拘束](名/サ变他) こうそく
那个东西本身(名) そのもの
一概/一律[一概に](副) いちがいに
犹豫/踌躇(动1自) ためらう
少子女高龄化[少子高齢化](名) しょうしこうれいか
婴儿[乳児](名) にゅうじ
出生后[生後](名) せいご
就学/入学[就学](名/サ变自) しゅうがく
正确答案[正答](名) せいとう
行车时刻表/钻石(名) ダイヤ
正常[正常](名/形2) せいじょう
报名/志愿[志願](名/サ变自) しがん
特殊/特别[特殊](名/形2) とくしゅ
平稳状态/停滞[横ばい](名) よこばい
蚂蚁(名) アリ
发展/恶化/进行/进展[進行](名/サ变自) しんこう
挡住/阻挡住[食い止める](动2他) くいとめる
上一年/去年[前年](名) ぜんねん
买得合算[お買い得](名) おかいどく
比较地[比較的](副) ひかくてき
免税[免税](名/サ变他) めんぜい
审判长[裁判長](名) さいばんちょう
判决[判決](名/サ变他) はんけつ
被告人[被告人](名) ひこくにん
不久/不远[遠からず](副) とおからず
契机[契機](名) けいき
父母家/娘家[親元](名) おやもと
当选/入选[入選](名/サ变自) にゅうせん
家电[家電](名) かでん
补助金/补贴[補助金](名) ほじょきん
供给/付给[給付する](名/サ变他) きゅうふする
主力[主力](名) しゅりょく
天使[天使](名) てんし
川村[川村](专) かわむら
产生/发生[生じる](动2自) しょうじる
决心/决意[決意する](名/サ变他) けついする
破损/损坏[破損](名/サ变自他) はそん
贷款/融资[融資](名/サ变他) ゆうし
一个月[ひと月](名) ひとつき
