符合/适合/相当[該当](名/サ变自) がいとう
家计/家庭收支情况[家計](名) かけい
托儿所[保育園](名) ほいくえん
名次/等级[順位](名) じゅんい
美国[米国](专) べいこく
比率/比例[比率](名) ひりつ
固定电话/座机[固定電話](名) こていでんわ
招聘人员/招人/招工[求人](名/サ变自) きゅうじん
就职活动/找工作[就活](名/サ变自) しゅうかつ
大学毕业[大卒](名) だいそつ
若干[若干](名) じゃっかん
商务/商业/生意(名) ビジネス
我方/我[当方](名) とうほう
注意/用心[念](名) ねん
求职调查表(名) エントリーシート
调查表/一张纸(名) シート
下载(名/サ变他) ダウンロードする
填写/输入[入力](名/サ变他) にゅうりょく
麻烦/周折[手数](名) てすう
自负/自傲[自負する](名/サ变自) じふする
怯场/胆小/胆怯[物おじする](名/サ变自) ものおじする
市场调研/市场营销(名) マーケティング
建议/劝告/劝说(名) すすめ
就业实习/就业体验(名) インターンシップ
冷静[冷静](形2) れいせい
战术/作战/作战策略[作戦](名) さくせん
竟赛/比赛[対戦](名/サ变自) たいせん
分析[分析する](名/サ变他) ぶんせきする
跨文化[異文化](名) いぶんか
体贴/体谅/同情心[思いやり](名) おもいやり
慎重起见[念のため] ねんのため
添麻烦[手数をかける] てすうをかける
胆子大/有魄力/不怯场[心臓が強い] しんぞうがつよい
积累经验[経験を積む] けいけんをつむ
分配/配属[配属](名/サ变他) はいぞく
胜者[勝者](名) しょうしゃ
奖金[賞金](名) しょうきん
研究班/研究班讨论课/毕业论文指导班(名) ゼミナール
申请书/愿望/心愿[願い](名) ねがい
推迟/往后推[後回し](名) あとまわし
加塞儿/挤进[割り込む](动1自) わりこむ
猪[豚](名) ぶた
青豌豆(名) グリンピース
钻研/研究[研さん](名/サ变他) けんさん
积木[積み木](名) つみき
