农夫[農夫](名) のうふ
费事/添麻烦[手数がかかる] てすうがかかる
胆小[心臓が弱い] しんぞうがよわい
厚颜无耻[心臓に毛が生える] しんぞうにけがはえる
分条写/分项写[箇条書き](名) かじょうがき
公务[公務](名) こうむ
全额[全額](名) ぜんがく
定期去医院[通院](名/サ变自) つういん
失败/失策(动1他) しくじる
形势/情势[情勢](名) じょうせい
后年[さ来年](名) さらいねん
机械和器具[機器](名) きき
热情/热忱[熱意](名) ねつい
香川[香川](专) かがわ
全般/普遍/所有[全般](名) ぜんぱん
特别/尤其/格外(副) とりわけ
到远处参加(登山/比赛)等[遠征](名/サ变自) えんせい
绝好/绝佳[絶好](名) ぜっこう
收据/收条(名) レシート
降价/减价[値引き](名/サ变他) ねびき
门路/联系(名) コネ
角色/任务[役](名) やく
服饰[服飾](名) ふくしょく
专业学校[専門学校](名) せんもんがっこう
小时工资[時給](名) じきゅう
办公室[事務室](名) じむしつ
实际费用/(原价)成本[実費](名) じっぴ
劳驾/过意不去 すまない
池袋[池袋](专) いけぶくろ
展台(名) ブース
需求(名) ニーズ
夜行[夜行](名) やこう
阵线/前线[戦線](名) せんせん
东京天空树/东京晴空塔(专) とうきょうスカイツリー
五重塔[五重の塔](名) ごじゅうのとう
再现[再現する](名/サ变自他) さいげんする
源于/由来于/来自(动1自) ちなむ
纪念[記念](名/サ变他) きねん
骑脖子[肩車する](名/サ变自) かたぐるまする
蔫儿/沮丧/默不作声(副) しゅんと
叫住/招呼使……站住[呼び止める](动2他) よびとめる
浅草[浅草](专) あさくさ
问讯处(名) インフォメーションカウンター
出生[生まれ](名) うまれ
建筑师[建築士](名) けんちくし
