博客(名) ブログ
见闻录[見聞録](名) けんぶんろく
见闻[見聞](名/サ变他) けんぶん
中门[中門](名) ちゅうもん
塔[塔](名) とう
(神社、庙宇的)院内/院落[境内](名) けいだい
平民/庶民[庶民](名) しょみん
参拜[参拝する](名/サ变自) さんぱいする
相当于/宛如/如同[宛ら](副) さながら
多半/大概(副) どうやら
外观[外観](名) がいかん
乍一看/初看[一見](副) いっけん
倒扣/翻过来/弄倒/推翻[ひっくり返す](动1自) ひっくりかえす
垒积起来/摞起来[積み重ねる](动2他) つみかさねる
中心柱[心柱](名) しんばしら
可是/但是(连) だが
层/层次[層](名) そう
结合[結合する](名/サ变自他) けつごうする
结合/构成/结构[組み立て](名) くみたて
部分[部分](名) ぶぶん
缝隙[すき間](名) すきま
梁[梁](名) はり
轴[軸](名) じく
钉子[釘](名) くぎ
凸[凸](名) とつ
突起/隆起[突起](名/サ变自) とっき
凹[凹](名) おう
插入/扎进/绞痛[差し込む](动1他自) さしこむ
接合/连接[接合](名/サ变他) せつごう
柔韧性(名) しなり
减轻[軽減する](名/サ变自他) けいげんする
重叠[重なる](动1自) かさなる
摇晃/摇摆[揺れる](动2自) ゆれる
没必要/无需[無用](名/形2) むよう
推回去[押し戻す](动1他) おしもどす
谜[謎](名) なぞ
但是/可是(连) ただ
临近/接近/眼前[間近](名/形2) まぢか
因为/原因是(连) なぜなら
后代/后世/将来[後世](名) こうせい
继承[継承する](名/サ变他) けいしょうする
前人/先辈[先人](名) せんじん
智慧[知恵](名) ちえ
阶段/步骤[段階](名) だんかい
基准[基準](名) きじゅん
