应用/运用[応用する](名/サ变他) おうようする
恶臭[悪臭](名) あくしゅう
著者/作者[著者](名) ちょしゃ
版税[印税](名) いんぜい
民众[民衆](名) みんしゅう
英雄[英雄](名) えいゆう
盯视/瞪眼(动1他) にらむ
消防车[消防車](名) しょうぼうしゃ
标准[標準](名) ひょうじゅん
不调/异常[不順](名/形2) ふじゅん
钢笔[万年筆](名) まんねんひつ
否定/否认[否定する](名/サ变他) ひていする
笔墨言辞[筆舌](名) ひつぜつ
穷尽/完[尽くす](动1他) つくす
成见/先入之见[先入観](名) せんにゅうかん
古董/古物/陈年的[年代物](名) ねんだいもの
山寨/仿造[模造](名/サ变他) もぞう
直线前进[直進する](名/サ变自) ちょくしんする
笔墨言辞难以表达[筆舌に尽くしがたい] ひつぜつにつくしがたい
开业/开张[開業](名/サ变自他) かいぎょう
彻底地[徹底的](形2) てっていてき
调查/研究(名/サ变他) リサーチ
用法[用法](名) ようほう
经常/总是/老是(副) しょっちゅう
冷淡/无情(形1) そっけない
僧侣[僧](名) そう
地平线[水平線](名) すいへいせん
上升/(地位)升级[昇る](动1自) のぼる
复活/苏生[復活する](名/サ变自他) ふっかつする
姬路城[姫路城](专) ひめじじょう
地震烈度[震度](名) しんど
灰浆/灰泥[漆くい](名) しっくい
验证/检验[検証](名/サ变他) けんしょう
了解清楚[判明](名/サ变自) はんめい
地震仪/地震计[地震計](名) じしんけい
大天守[大天守](专) だいてんしゅ
消防署[消防署](名) しょうぼうしょ
察觉/感知[感知する](名/サ变他) かんちする
针[針](名) はり
振动/偏向[振れる](动2自) ふれる
凝固/使坚硬/坚定/加强防守[固める](动2他) かためる
粗野/不礼貌(形2) がさつ
多少/稍微[多少](副) たしょう
强行/强制/硬干[強引](形2) ごういん
遭遇挫折/栽跟头(动1自) つまずく
