可怕/惊人(形1) のもすごい
瀑布[滝](名) たき
总会/全会[総会](名) そうかい
发帖/加注[書き込み](名) かきこみ
强度[強度](名) きょうど
分析/剖析[解析する](名/サ变他) かいせきする
发烧/发热[発熱](名/サ变自) はつねつ
慢腾腾/慢吞吞(副) もたもた
办公人员[事務員](名) じむいん
班主任/担任/担当[担任](名/サ变他) たんにん
上学[登校する](名/サ变自) とうこうする
严禁/忌讳[禁物](名) きんもつ
中央区[中央区](名) ちゅうおうく
保健所[保健所](名) ほけんじょ
症状[症状](名) しょうじょう
鼻涕[鼻水](名) はなみず
可怕[恐ろしい](形1) おそろしい
结束/了事/做完[済ます](动1他) すます
大事/大祸[大事](名) だいじ
婴幼儿[乳幼児](名) にゅうようじ
宿疾/老病[持病](名) じびょう
暴露/抛露/晒/漂白/任…冲刷(动1他) さらす
疏忽/懈怠/放松[怠る](动1他) おこたる
基础[基礎](名) きそ
呼吸道[呼吸器](名) こきゅうき
恶寒/高烧发冷[悪寒](名) おかん
倦怠感[けん怠感](名) けんたいかん
轻度[軽度](名) けいど
潜伏/隐藏[潜伏](名/サ变自) せんぷく
高烧/高热[高熱](名) こうねつ
肌肉/筋肉[筋肉](名) きんにく
关节[関節](名) かんせつ
肺炎[肺炎](名) はいえん
支气管[気管支](名) きかんし
并发[併発する](名/サ变自他) へいはつする
发病/得病[発病](名/サ变自) はつびょう
部位[部位](名) ぶい
局部/身体的一部[局所](名) きょくしょ
低烧/低热[微熱](名) びねつ
病毒/病菌(名) ウイルス
遗传基因[遺伝子](名) いでんし
蛋白质[たんぱく質](名) たんぱくしつ
覆盖/遮盖[覆う](动1他) おおう
免疫[免疫](名) めんえき
抗体[抗体](名) こうたい
