复数/数个[複数](名) ふくすう
排列[配列](名/サ变他) はいれつ
疫苗/菌苗(名) ワクチン
稀少/罕见(形2) まれ
爆发性的[爆発的](形2) ばくはつてき
接种/注射[接種](名/サ变他) せっしゅ
重症/重病[重症](名) じゅうしょう
避免/回避/躲开[回避する](名/サ变他) かいひする
吸入/吸进[吸い込む](动1他) すいこむ
飞沫[飛沫](名) ひまつ
唾液[唾液](名) だえき
附着[付着する](名/サ变自) ふちゃくする
接触[接触](名/サ变自) せっしょく
人多拥挤的地方/人群[人ごみ](名) ひとごみ
患上/出现症状[発症する](名/サ变自) はっしょうする
怀疑[疑う](动1他) うたがう
接受诊断/看病[受診](名/サ变自他) じゅしん
搜集/收集[収集する](名/サ变他) しゅうしゅうする
证照[証明書](名) しょうめいしょ
石像/石雕像[石像](名) せきぞう
切成细丝[千切り](名) せんぎり
不正当/不正直/不诚实[不正](名/形2) ふせい
揭露/揭发[暴く](动1他) あばく
出场次序/值班[出番](名) でばん
养护/维修/修整[手入れ](名/サ变他) ていれ
医学[医学](名) いがく
结核/结核病[結核](名) けっかく
有[有](名) あり
同上[同上](名) どうじょう
品川区[品川区](专) しながわく
上大崎[上大崎](专) かみおおさき
牛(名) ウシ
胃[胃袋](名) いぶくろ
火急/紧急[早急](名/形2) そうきゅう
措施/对策[施策](名) しさく
提出/出台[打ち出す](动1他) うちだす
(文字)乱码[文字化け](名/サ变自) もじばけ
(内部)装有/(内部)包藏[内蔵する](名/サ变他) ないぞうする
观点/看法[見方](名) みかた
赔罪/道歉[謝罪](名/サ变他) しゃざい
有些发白[白っぽい](形1) しろっぽい
别人/其他人[他者](名) たしゃ
呕吐/吐出/冒出/吐露[吐く](动1自) はく
稻田/水田[水田](名) すいでん
水滴[水滴](名) すいてき
