全体/满/一片/(其中)一面/头版[いちめん](名) いちめん
肚子痛[腹痛](名) ふくつう
腹泻/拉肚子[下痢](名) げり
食物中毒[食中毒](名) しょくちゅうどく
细菌[細菌](名) さいきん
体外[体外](名) たいがい
贝[貝](名) かい
除去/去掉[除去する](名/サ变他) じょきょする
加热[加熱する](名/サ变他) かねつする
平息/结束/平定[治まる](动1自) おさまる
排泄[排泄する](名/サ变他) はいせつする
大便/排便[排便する](名/サ变自他) はいべんする
止泻/止泻药[下痢止め](名) げりどめ
本季/这个季节[今季](名) こんき
唾液/唾沫(名) つば
果蔬店/菜铺[八百屋](名) やおや
店头/店面[店先](名) みせさき
做完/得到解决[片づく](动1自) かたづく
当季/应时/旺季[旬](名) しゅん
茼蒿[春菊](名) しゅんぎく
张望/环视[見回す](动1他) みまわす
桃子(名) モモ
塑料大棚(名) ビニールハウス
工厂化蔬菜[工場野菜](名) こうじょうやさい
地面/地里[地べた](名) じべた
人工的/人造的[人工的](形2) じんこうてき
屡次/每次/经常[毎度](副) まいど
分/分开[分かれる](动2自) わかれる
点亮/点灯[点灯する](名/サ变自他) てんとうする
总共/总计[都合](副) つごう
发出/放出[放つ](动1他) はなつ
半导体[半導体](名) はんどうたい
第一个字母/首字[頭文字](名) かしらもじ
发光/放光[発光](名/サ变自) はっこう
老化/退化/恶化[劣化](名/サ变自) れっか
所以/因为如此(连) そのため
永久性的/长久[永久的](形2) えいきゅうてき
电光板[電光板](名) でんこうばん
告示牌[表示板](名) ひょうじばん
指示灯/指示器(名) インジケーター
遥控/遥控器(名) リモコン
终结/限度(名) きり
黄绿色[黄緑色](名) きみどりいろ
亮度/辉度[輝度](名) きど
量产/批量生产[量産](名/サ变他) りょうさん
