对方/对手[先方](名) せんぽう
出生地[出身地](名) しゅっしんち
私家车[自家用車](名) じかようしゃ
个人信息[個人情報](名) こじんじょうほう
不协调的感觉/不和谐的感觉[違和感](名) いわかん
含糊/弄脏[濁す](动1他) にごす
如果那样/要是那样的话(连) そうしたら
疏远/见外/冷淡(形1) よそよそしい
个人隐私/私生活(名) プライバシー
逐个(副) いちいち
私生活[私生活](名) しせいかつ
刨根儿问底儿[根掘り葉掘り](副) ねほりはほり
咖啡馆(名) カフェ
善待我/对我很好 よくしてくれる
就是说 ということは
以……为依靠[頼りにする] たよりにする
丢面子[面子をつぶす] めんつをつぶす
蒙羞[恥をかく] はじをかく
含糊其词/不明确回答[お茶を濁す] おちゃをにごす
倾向于[傾向にある] けいこうにある
敬老院[老人～](名) ろうじんホーム
借口/口实[口実](名) こうじつ
投寄/靠近/聚集[寄せる](动2他) よせる
夫妻[夫妻](名) ふさい
弟子[弟子](名) でし
发小/青梅竹马[幼なじみ](名) おさななじみ
熟面孔/面熟/熟人[顔なじみ](名) かおなじみ
积木/水泥预制板(名) ブロック
现场[現場](名) げんば
火海[火の海](名) ひのうみ
逃出/逃脱[脱出する](名·サ变自) だっしゅつする
清晨/早上[早朝](名) そうちょう
伤人事故/撞人事故[人身事故](名) じんしんじこ
立即同意、马上答应[二つ返事](名) ふたつへんじ
短篇[短編](名) たんぺん
解任/免职[解任](名·サ变他) かいにん
司机/驾驶员/改锥(名) ドライバー
手枪(名) ピストル
随便/舒心/自在(动1自) くつろぐ
蜥蜴(名) トカゲ
累人/费力/强烈/严厉/严格(形1) きつい
散乱/零乱[散乱する](名·サ变自) さんらんする
笔记[筆記](名) ひっき
用具[用具](名) ようぐ
新婚旅行[新婚旅行](名) しんこんりょこう
