原色(红/黄/青三色)[原色](名) げんしょく
全色/所有颜色(名) フルカラー
荧光/萤火虫的光[蛍光](名) けいこう
涂布/涂敷/搽[塗布する](名/サ变他) とふする
白色[白](名) しろ
背投灯/背光源(名) バックライト
电灯泡/灯泡/白炽灯[電球](名) でんきゅう
植物工厂[植物工場](名) しょくぶつこうじょう
封闭/密闭[密閉する](名/サ变他) みっぺいする
养分[栄養分](名) えいようぶん
水栽/营养液栽培[水耕](名) すいこう
主流/主要倾向[主流](名) しゅりゅう
中东[中東](名) ちゅうとう
光源[光源](名) こうげん
放出/发放[放出する](名/サ变他) ほうしゅつする
光合作用[光合成](名) こうごうせい
加速/加快[早める](动2他) はやめる
形状/形态[形態](名) けいたい
形成[形成](名/サ变他) けいせい
露天栽培的植物/地里长的植物[露地物](名) ろじもの
照射[照射する](名/サ变自他) しょうしゃする
含有[含有](名/サ变他) がんゆう
商品陈列橱(名) ショーケース
投资[投資](名/サ变他) とうし
决心/思想准备[覚悟する](名/サ变他) かくごする
长远的观点[長い目](名) ながいめ
并用[併用する](名/サ变他) へいようする
不会有/不可能有 ありえない
无论如何/无论怎样 いずれにしても
迟早[遅かれ早かれ] おそかれはやかれ
双重/双层/重复[二重](名) にじゅう
举行[挙行する](名/サ变他) きょこうする
布丁(名) プリン
放置/置之不理[放置する](名/サ变他) ほうちする
酶/酵素[酵素](名) こうそ
电极[電極](名) でんきょく
死绝/灭亡[死滅する](名/サ变自) しめつする
自然灭亡/自杀[自滅する](名/サ变自) じめつする
繁荣[繫栄する](名/サ变自) はんえいする
不合理/不讲理/无理[理不尽](名/形2) りふじん
缺少/缺乏[欠く](动1他) かく
墓/坟/墓碑[墓](名) はか
扫墓/上坟[墓参り](名/サ变自) はかまいり
蜡烛(名) ろうそく
线香/细香[線香](名) せんこう
