可能有/能有(动2自) ありえる
河口[河口](名) かこう
香鱼(名) アユ
建构/构筑[構築する](名/サ变他) こうちくする
气压[気圧](名) きあつ
大地/土地/露天的地面[露地](名) ろじ
温室栽培[～栽培](名) ハウスさいばい
自家/自己家[自家](名) じか
洗面奶[洗顔料](名) せんがんりょう
橄榄油(名) オリーブオイル
生疏/疏远[疎い](形1) うとい
训练/准备活动(名/サ变自) トレーニング
(团队的)力量/军事力量[戦力](名) せんりょく
通告/通知[通告](名/サ变他) つうこく
绝望/无望[絶望](名/サ变自) ぜつぼう
手巧/灵巧/巧妙[器用](形2) きよう
手笨/拙笨[不器用](形2) ぶきよう
热情/积极性/意志[意欲](名) いよく
矛/长枪/梭镖(名) やり
枪支/枪炮[鉄砲](名) てっぽう
悚惧/畏缩(动1自) すくむ
脱离/脱落[抜ける](动2自) ぬける
指责/谴责[非難](名/サ变他) ひなん
游行(名) デモ
暴露(动2自) ばれる
令人恐怖的/惊人/可怕/可惧[恐るべき] おそるべき
应有的/相应的/适当/应当[然るべき] しかるべき
或多或少/无论多少[多かれ少なかれ] おおかれすくなかれ
或大或小[大なり小なり] だいなりしょうなり
采取措施/鼓掌/成交[手を打つ] てをうつ
腿软/畏缩[足がすくむ] あしがすくむ
胆怯/瘫软[腰が抜ける] こしがぬける
搜查[捜査](名/サ变他) そうさ
影像/画像[画像](名) がぞう
职业的经历/职历[職歴](名) しょくれき
学历[学歴](名) がくれき
适应性[適性](名) てきせい
更替成本/营业成本(名) ランニングコスト
日本画[日本画](名) にほんが
鱼店[魚屋](名) さかなや
两轮拖车(名) リヤカー
行李车[荷車](名) にぐるま
二战前[戦前](名) せんぜん
管/导管/烟斗/烟嘴(名) パイプ
载货架/车箱[荷台](名) にだい
拉手/向导/拉车人[引き手](名) ひきて
