车轮[車輪](名) しゃりん
联接/连接[連結する](名/サ变他) れんけつする
路上/街上/途中[路上](名) ろじょう
送货到家[宅配](名/サ变他) たくはい
工商业者/同业者[業者](名) ぎょうしゃ
乘车进入/驶入[乗り入れ](名) のりいれ
关税/海关税[関税](名) かんぜい
农作物[農作物](名) のうさくもつ
营养价值[栄養価](名) えいようか
理[理](专) おさむ
助教[助教](名) じょきょう
产学合作[産学協同](名) さんがくきょうどう
协同/同心协力[協同](名/サ变自) きょうどう
基础的[基礎的] きそてき
进展[進捗](名/サ变自) しんちょく
一点也……/全然[一向に](副) いっこうに
还算可以/还行/还好(副) まだしも
划时代的/划期的[画期的](形2) かっきてき
开玩笑/愚弄人(动2自) ふざける
路程/距离[道のり](名) みちのり
改变/重振/转换[取り直す](动1他) とりなおす
用途/用处[用途](名) ようと
物质/东西/物体/实体[物質](名) ぶっしつ
树脂[樹脂](名) じゅし
灯心草/蔺草(名) イグサ
榻榻米蔗面[畳表](名) たたみおもて
吸湿[吸湿](名/サ变自) きゅうしつ
水分[水分](名) すいぶん
保温[保温](名/サ变自) ほおん
海绵(名) スポンジ
公开于众/公示/发表[お披露目する](名/サ变他) おひろめする
试作样品[試作品](名) しさくひん
冰凉的/感到凉意(副) ひんやり
保冷剂/制冷材料[保冷剤](名) ほれいざい
肉眼[肉眼](名) にくがん
冷气/凉气[冷気](名) れいき
密封[密封する](名/サ变他) みっぷうする
兼有/兼备[兼ね備える](动2他) かねそなえる
热气/热情/高烧[熱気](名) ねっき
软蹋蹋(副) べちゃんっと
口感/吃的感觉[食感](名) しょっかん
照这样[この分] このぶん
露面/出头/出面[顔を出す] かおをだす
伤脑筋/头疼[頭が痛い] あたまがいたい
定了定神/转变心情[気を取り直す] きをとりなおす
