没想到[思いもよらない] おもいもよらない
告示/贴出的纸张/招贴[張り紙](名) はりがみ
心声/真话/真心话[本音](名) ほんね
回老家/探亲[帰省する](名/サ变自) きせいする
煮鸡蛋[ゆで卵](名) ゆでたまご
屡次/屡屡(副) たびたび
短外套/短外衣(名) ジャケット
出院[退院する](名/サ变自) たいいんする
妻子/媳妇/新娘[お嫁さん](名) およめさん
皮肤[皮膚](名) ひふ
贪婪地(吃)/大口大口地(吃)(副) がつがつ
大口大口地(喝酒/水)(副) がぶがぶ
水蒸气[水蒸気](名) すいじょうき
结晶[結晶](名) けっしょう
冰晶(名) ダイヤモンドダスト
头晕目眩(副) くらくら
骨碌碌地转/一层一层地包卷(副) くるくる
卷心菜肉卷(名) ロールキャベツ
圆白菜(名) キャベツ
坚硬而粗糙不平(副) ごつごつ
爽利/清爽(副) さらさら
发刷(名) ブラシ
梳(发)(动1他) すく
头发[髪の毛](名) かみのけ
成分[成分](名) せいぶん
心直口快(说话不留情面)(副) ずばずば
(由于期待、紧张、兴奋等)身上一阵阵发冷(副) ぞくぞく
一眼一眼地瞟(副) ちらちら
滑溜溜/粘而滑(副) ぬるぬる
山药[長芋](名) ながいも
欢蹦乱跳地(副) ぴちぴち
鱼篓[生けす](名) いけす
蹦/跳跃/溅/飞溅[跳ねる](动2自) はねる
(由于寒冷或恐怖)发抖(副) ぶるぶる
颤抖/震动[震える](动2自) ふるえる
蒲公英(名) タンポポ
绒毛[綿毛](名) わたげ
空中[宙](名) ちゅう
飞舞/飘荡/舞蹈[舞う](动1自) まう
小声嘟囔(副) ぼそぼそ
说话(动1自) しゃべる
听见/听懂/听取[聞き取る](动1他) ききとる
狼吞虎咽地/精力旺盛地/迅猛地(副) もりもり
苦夏[夏ばてする](名/サ变自) なつばてする
摇摇晃晃(幼儿等走路不稳的样子)(副) よちよち
