企鹅(名) ペンギン
鸡架子(名) とりがら
失眠症[不眠症](名) ふみんしょう
潲进/刮进[降り込む](动1自) ふりこむ
地板[床](名) ゆか
暴涨/腾贵/涨价[高騰する](名/サ变自) こうとうする
平日衣服/平常穿着[普段着](名) ふだんぎ
黏乎乎/湿漉漉(名) べちゃべちゃ
小声说话/发呆(副) ぼそっと
湿乎乎(副) じめっと
轻飘飘/软绵绵(副) ふわっと
一瞟/一闪/一晃(副) ちらっと
稳重/文静/寂静/平静[物静か](形2) ものしずか
嘟囔(动1自) つぶやく
飞扬/飞舞[舞い上がる](动1自) まいあがる
死脑筋/脑筋顽固[頭が固い] あたまがかたい
谦恭/谦虚[頭が低い] あたまがひくい
观念旧/脑筋旧[頭が古い] あたまがふるい
交际广[顔が広い] かおがひろい
嘴甜[口がうまい] くちがうまい
寡言/少语[口が重い] くちがおもい
嘴不严/嘴快[口が軽い] くちがかるい
刺耳/不爱听[耳が痛い] みみがいたい
消息灵通[耳が早い] みみがはやい
自豪/高傲/得意[鼻が高い] はながたかい
度量大[腹が大きい] はらがおおきい
心黑/心狠/阴险[腹が黒い] はらがくろい
脚沉/累得走不动[足が重い] あしがおもい
容易馊/走得快/销路好[足が早い] あしがはやい
心满意足/尽情[心行くまで] こころゆくまで
华丽/华美/华贵[華やか](形2) はなやか
缴纳/交纳[納入](名/サ变他) のうにゅう
推迟/延迟[遅らせる](动2他) おくらせる
绝版[絶版](名) ぜっぱん
畅销书(名) ベストセラー
荧光灯[蛍光灯](名) けいこうとう
买进[買い取る](动1他) かいとる
游廊/走廊[渡り廊下](名) わたりろうか
接上/栓/维系(动2他) つなげる
寻找…的机会/瞄准[狙う](动1他) ねらう
敬佩/佩服[敬服する](名/サ变自) けいふくする
能力/本领/力量[力量](名) りきりょう
瓦楞纸板[段～](名) だんボール
筑波市(专) つくばし
眨眼(名) まばたき
