眉间(名) みけん
皱纹(名) しわ
供暖设备[暖房](名) だんぼう
外壁/外侧壁面[外壁](名) がいへき
多重玻璃[複層～](名) ふくそうガラス
捕捉/抓住/逮住(动2他) とらえる
发育障碍[発達障害](名) はったつしょうがい
痴呆症[認知症](名) にんちしょう
对话[対話する](名/サ变自) たいわする
搬运/挪动[持ち運ぶ](动1他) もちはこぶ
外部[外部](名) がいぶ
出入/进出[出入り](名/サ变自) でいり
逃出[逃げ出す](动1自) にげだす
冷暖空调[冷暖房](名) れいだんぼう
效率[効率](名) こうりつ
平板玻璃[板～](名) いたガラス
注入/灌输[注入する](名/サ变他) ちゅうにゅうする
绝热[断熱](名/サ变自) だんねつ
窗框[窓枠](名) まどわく
出赁汽车(名) レンタカー
准备周到[用意周到](名/形2) よういしゅうとう
正仓院[正倉院](专) しょうそういん
珍宝/宝物/宝贝[宝物](名) ほうもつ
端头/边缘[端](名) はし
洛阳[洛陽](专) らくよう
东端[東端](名) とうたん
大佛[大仏](名) だいぶつ
东大寺[東大寺](专) とうだいじ
大佛殿[大仏殿](名) だいぶつでん
(宗教)建造/兴建[建立する](名/サ变他) こんりゅうする
天皇[天皇](名) てんのう
皇后[皇后](名) こうごう
关系/因缘(名) ゆかり
各式物品[品々](名) しなじな
带回/拿回[持ち帰る](动1他) もちかえる
伊朗(专) イラン
骆驼(名) ラクダ
现存[現存する](名/サ变自) げんそんする
高度[高度](名/形2) こうど
工艺(品)[細工](名/サ变他) さいく
吟游诗人[吟遊詩人](名) ぎんゆうしじん
讲述/讲/说明[物語る](动1他) ものがたる
酒杯/杯子(名) さかずき
玻璃球[～玉](名) ガラスだま
装饰[装飾](名/サ变他) そうしょく
