西域(名) さいいき
传来[伝来する](名/サ变自) でんらいする
随行[随行する](名/サ变自) ずいこうする
东西[東西](名) とうざい
连接/延绵/成列[連なる](动1自) つらなる
未必/不一定(副) あながち
太古[太古](名) たいこ
原产[原産](名) げんさん
文物[文物](名) ぶんぶつ
而且[且つ](副) かつ
起点[起点](名) きてん
天山山脉[天山山脈](专) てんざんさんみゃく
塔里木盆地[～盆地](专) タリムぼんち
欧亚大陆[～大陸](专) ユーラシアたいりく
草原[草原](名) そうげん
地区/地带[地帯](名) ちたい
草原之路[～路](名) ステップろ
乘/出去/登上……舞台[乗り出す](动1自) のりだす
宁波[寧波](专) にんぽー
海路[海路](名) かいろ
缔结[締結する](名/サ变他) ていけつする
放映[放映する](名/サ变他) ほうえいする
异国风情/异国情调(形2) エキゾチック
抱/搂[抱く](动1他) いだく
作曲/创作曲子[作曲する](名/サ变自他) さっきょくする
管弦乐[管弦楽](名) かんげんがく
组曲[組曲](名) くみきょく
吸引/使人入迷[魅する](サ变他) みする
展期[会期](名) かいき
(非当日往返)留宿[泊りがけ](名) とまりがけ
国际色彩/国际性[国際色](名) こくさいしょく
赞叹/感叹[感嘆](名/サ变自) かんたん
绿洲(名) オアシス
屈指可数/有数[有数](名/形2) ゆうすう
商业[商業](名) しょうぎょう
改变面貌/变身[変貌する](名/サ变自) へんぼうする
楼兰[楼蘭](专) ろうらん
异口同声[異口同音](名) いくどうおん
宏大/壮观/雄伟[壮大](名/形2) そうだい
浪漫(名) ロマン
爱知县[愛知](专) あいち
丰桥市[豊橋](专) とよはし
键盘(名) キーボード
尾道市[尾道](专) おのみち
兴建/营造[造営](名/サ变他) ぞうえい
