颐和园[頤和園](专) いわえん
种种/各种/多种[種々](名) しゅじゅ
细微之处[端々](名) はしばし
书写/记载/标明/表面记载[表記](名/サ变他) ひょうき
强弱[強弱](名) きょうじゃく
高低[高低](名) こうてい
群山[山々](名) やまやま
将军[将軍](名) しょうぐん
同期/同一时期[同期](名) どうき
理事会[理事会](名) りじかい
木筏/筏子/木排(名) いかだ
波涛汹涌的大海[荒海](名) あらうみ
探究明白/调查明白[究明](名/サ变他) きゅうめい
起爆药[起爆剤](名) きばくざい
痛感/深切地感觉到[痛感する](名/サ变他) つうかんする
嫌疑犯[容疑者](名) ようぎしゃ
留下话/留言/撂下(一句话)/没有说完[言い残す](动1他) いいのこす
真凶/真罪犯[真犯人](名) しんはんにん
记者招待会[記者会見](名) きしゃかいけん
会见/接见[会見](名/サ变自) かいけん
见解[見解](名) けんかい
个人的[個人的](形2) こじんてき
国民的[国民的](形2) こくみんてき
文物/文化遗产[文化財](名) ぶんかざい
昆虫[昆虫](名) こんちゅう
持有者/所有人[持ち主](名) もちぬし
死/丧/失去[亡くす](动1他) なくす
推倒/放倒/推翻/打败[倒す](动1他) たおす
墙纸/糊墙纸/壁纸[壁紙](名) かべがみ
好天气/好天[好天](名) こうてん
热闹/拥挤/繁荣/兴旺(动1自) にぎわう
平城京[平城京](专) へいじょうきょう
迁都[遷都](名/サ变自) せんと
起源[起源](名) きげん
伎乐面具[伎楽面](名) ぎがくめん
皮口袋/皮囊[皮袋](名) かわぶくろ
仿照/模仿/形象化(动1他) かたどる
水壶[水入れ](名) みずいれ
游览者[観覧客](名) かんらんきゃく
杂技团[雑技団](名) ざつぎだん
表演/演出/陈列/展览(名) ショー
汲水[水くみ](名/サ变自) みずくみ
家畜/牲口[家畜](名) かちく
疼痛/痛苦[痛む](动1自) いたむ
