和歌山[和歌山](专) わかやま
入园/入场/上(幼儿园)[入園](名/サ变自) にゅうえん
仔细地/十分注意地/非常(副) よくよく
感兴趣/来劲[乗り気](名) のりき
傲慢/狂妄[生意気](形2) なまいき
说(话)(动1他) きく
大约的年龄/该结婚的年龄[年ごろ](名) としごろ
过山车(名) ジェットコースター
迈小步走/匆匆忙忙(副) ちょこちょこ
小酒盅(名) おちょこ
动作/举止(名) しぐさ
说话[口をきく] くちをきく
稀少/稀罕[希少](名/形2) きしょう
出租/出借/贷与[貸与する](名/サ变他) たいよする
一种说法[一説](名) いっせつ
白熊[白熊](名) しろくま
真伪[真偽](名) しんぎ
明确/清楚/确实[定か](形2) さだか
开展[展開する](名/サ变自他) てんかいする
有识之士[有識者](名) ゆうしきしゃ
筹措[ねん出する](名/サ变他) ねんしゅつする
否/不[否](名) いな
来园者/来参观的人[来園者](名) らいえんしゃ
极端[極端](形2) きょくたん
黑白[白黒](名) しろくろ
圆圆的[丸っこい](形1) まるっこい
可爱/有魅力[愛きょう](名) あいきょう
天真烂漫/单纯/幼稚[無邪気](形2) むじゃき
有时/偶尔[時たま](副) ときたま
挑动/煽动[かき立てる](动2自) かきたてる
祖先/先祖[祖先](名) そせん
洞穴/洞窟[洞くつ](名) どうくつ
推测/推断/推定[推定する](名/サ变他) すいていする
同纲/同属[同属](名) どうぞく
头骨[頭骨](名) とうこつ
生物个体/个体[個体](名) こたい
甘肃省[甘粛省](专) かんしゅくしょう
高山[高山](名) こうざん
四散/离散/分散[散り散り](形2) ちりぢり
主食[主食](名) しゅしょく
丛生细竹[笹](名) ささ
竹笋[竹の子](名) たけのこ
困难/麻烦[難儀する](名/サ变自) なんぎする
配种/交配[交配](名/サ变他) こうはい
