双胞胎[双子](名) ふたご
一直在(做某件事)(名) かかりきり
片刻[片時](名) かたとき
呼吸/喘气[息](名) いき
一般[並大抵](名/形2) なみたいてい
猎捕/捕获[捕獲する](名/サ变他) ほかくする
操守[節操](名) せっそう
让人瞧热闹的玩物/杂耍/出洋相[見世物](名) みせもの
国外/境外[国外](名) こくがい
带出/拿出去[持ち出す](动1他) もちだす
剥制(标本)[剥製](名) はくせい
狙击[狙撃する](名/サ变他) そげきする
充满[満ちる](动2自) みちる
睿智/智慧/洞察力[英知](名) えいち
丧命/丧生[命を落とす] いのちをおとす
费事[手間がかかる] てまがかかる
连喘息的时间也没有[息をつく暇もない] いきをつくひまもない
近期/近日[近日](名) きんじつ
解散[解散する](名/サ变自他) かいさんする
财宝[財宝](名) ざいほう
所在位置[在り処](名) ありか
细则[細則](名) さいそく
着手/下手/动手[着手する](名/サ变自) ちゃくしゅする
油腻[油っこい](形1) あぶらっこい
敏捷/利落(形1) すばしっこい
韧劲儿/纠缠不休/黏糊糊(形1) ねばっこい
(身材)短小/小巧/碎花纹[小柄](名/形2) こがら
大太阳下/炎热的天气下[炎天下](名) えんてんか
除草[草取り](名) くさとり
尘埃/尘土/灰尘(名) ほこり
可是/然而(连) だけど
雪山女妖[雪女](名) ゆきおんな
贱物/便宜货[安物](名) やすもの
决议[決議](名/サ变他) けつぎ
逐个地[一つ一つ](副) ひとつひとつ
赚钱[儲かる](动1自) もうかる
大雪/暴雪[豪雪](名) ごうせつ
耙雪/铲雪/雪耙/雪耙子[雪かき](名/サ变自) ゆきかき
备份(名/サ变他) バックアップ
恢复/复原[復元する](名/サ变自他) ふくげんする
布制玩偶(名) ぬいぐるみ
放开/放掉[放す](动1他) はなす
走开/离去[立ち去る](动1自) たちさる
小屋/小房[小屋](名) こや
走钢丝/冒险[綱渡り](名/サ变自) つなわたり
