夏威夷(专) ハワイ
新加坡(专) シンガポール
葬礼[葬式](名) そうしき
自身[自身](名) じしん
过失[過失](名) かしつ
同情[同情](名·サ变自) どうじょう
公开/公布[公表する](名·サ变他) こうひょうする
事项[事項](名) じこう
通知[通知する](名·サ变他) つうちする
找借口[口実をつける] こうじつをつける
可以依靠[頼りになる] たよりになる
晴天霹雳/事出意外[寝耳に水] ねみみにみず
身体支撑得住[体が持つ] からだがもつ
带上/穿上/掌握[身につける] みにつける
说出/说起[言い出す](动1他) いいだす
侵害[侵害](名·サ变他) しんがい
透露/泄漏/漏掉/遗漏[漏らす](动1他) もらす
正式的/形式的(形2) フォーマル
大/很/甚/非常/大大地[大いに](副) おおいに
同学会/校友会[同窓会](名) どうそうかい
创业[創業](名·サ变自他) そうぎょう
重新排列[並べ替える](动2他) ならべかえる
助词[助詞](名) じょし
补上/补充/补偿[補う](动1他) おぎなう
便饭/快餐[軽食](名) けいしょく
财务省[財務省](专) ざいむしょう
舞弊事件[不祥事](名) ふしょうじ
当事人[当事者](名) とうじしゃ
来商店[来店する](名·サ变自) らいてんする
将来[後々](名) のちのち
库房/放东西的房间[物置](名) ものおき
雪地靴[～靴](名) スキーぐつ
栽种的树/盆栽的花木[植木](名) うえき
浇水[水やり](名) みずやり
金鱼[金魚](名) きんぎょ
腰扭伤/闪腰[ぎっくり腰](名) ぎっくりごし
正是现在/现在最重要 ここぞ
没心情做[気が進まない] きがすすまない
彼此都一样/彼此彼此[お互い様](名) おたがいさま
睡铺/被窝[寝床](名) ねどこ
重量[重量](名) じゅうりょう
超过(名) オーパー
厚脸皮/无耻[厚かましい](形1) あつかましい
衣服/服装[衣服](名) いふく
七五三[七五三](名) しちごさん
