杂技[曲芸](名) きょくげい
还原[還元する](名/サ变他) かんげんする
习性[習性](名) しゅうせい
讲课/讲义[講義](名/サ变他) こうぎ
不可[不可](名) ふか
赛跑(名) かけっこ
捏一把汗/飘/扑簌簌(副) はらはら
蕃茄酱/番茄汁(名) ケチャップ
发黏/黏糊糊(副) べとべと
份饭/套餐[定食](名) ていしょく
儿童套餐[お子様～] おこさまランチ
赚头/利润[儲け](名) もうけ
投入/注入/倒进[つぎ込む](动1自他) つぎこむ
实例/事例/盒子(名) ケース
破产[破産](名/サ变自) はさん
深海[深海](名) しんかい
水温[水温](名) すいおん
水压[水圧](名) すいあつ
海洋雪(名) マリンスノー
浮游生物(名) プランクトン
剧毒[猛毒](名) もうどく
热水[熱水](名) ねっすい
喷出[噴き出す](动1自) ふきだす
微生物[微生物](名) びせいぶつ
内外[内外](名) ないがい
住/居住[住まう](动1自) すまう
南京町[南京町][专] なんきんまち
正值/正盛时/正中央[真っ只中][名] まっただなか
狮子[獅子][名] しし
龙[龍][名] りゅう
舞蹈[舞い踊る][动1自] まいおどる
中秋节[中秋節][名] ちゅうしゅうせつ
团圆[団らん][名] だんらん
体验/身体所感[体感する][名/サ变自] たいかんする
煮年糕/年糕汤[雑煮][名] ぞうに
效仿/仿照/效法[倣う][动1自] ならう
视野[視野][名] しや
孩子气/天真/无聊/无谓[形1] たわいない
(使)出现/浮/泛/想起[浮かべる][动2他] うかべる
一篇文章/一篇短文[一文][名] いちぶん
学会/学好[習得する][名/サ变他] しゅうとくする
手段/工具[名] ツール
精通[精通する][名/サ变自] せいつうする
命题/题字[題する][名/サ变自] だいする
著述/讲述[著す][动1他] あらわす
