小故事/插曲/花絮[名] エピソード
投降/归降[降伏][名/サ变自] こうふく
前后[前後][名] ぜんご
悲叹/叹息[嘆く][动1自] なげく
严厉批评[酷評][名/サ变他] こくひょう
自以为是/孤芳自赏[独善的][形2] どくぜんてき
谦虚[謙虚][形2] けんきょ
机构/组织[機構][名] きこう
参加到一伙当中/成为其中一员[仲間入り][名/サ变自] なかまいり
悲惨/凄惨[形2] みじめ
记下来/写下来[書き記す][动1他] かきしるす
在别人家中寄宿/低级旅社[下宿][名/サ变自] げしゅく
探寻到/造访[訪ねあてる][动2他] たずねあてる
日本兵[日本兵][名] にほんへい
虐杀/残杀[虐殺する][名/サ变他] ぎゃくさつする
仇恨/恨/怨/不满[恨み][名] うらみ
寒酸/破旧/贫寒相[貧相][形2] ひんそう
居住/住处[住まい][名] すまい
平素/平时[平生][名] へいぜい
自助[名] セルフサービス
白发[はくはつ][名] はくはつ
地道/纯粹[生粋][名] きっすい
美人/丽人[美人][名] びじん
女侍者/女服务员[名] ウエイトレス
承担[受け持つ][动1他] うけもつ
编外讲师[非常勤講師][名] ひじょうきんこうし
月薪/工资[月給][名] げっきゅう
拮据/银根紧缩[金詰り][名] かねづまり
多余[余計][形2] よけい
煎鸡蛋卷[名] オムレツ
添/附加/附上[添える][动2他] そえる
付款/结账[勘定][名/サ变他] かんじょう
申述/提出[申し出る][动2他] もうしでる
食指[人さし指][名] ひとさしゆび
嘴唇[唇][名] くちびる
压低着(声音)/声音嘶哑[动2自] かすれる
北纬[北緯][名] ほくい
比较[副] わりに
冷得彻骨/严寒彻骨[底冷え][名/サ变自] そこびえ
冰雹[雹][名] ひょう
热气[湯気][名] ゆげ
小声[小声][名] こごえ
弄错/拿错/理解错[取り違える][动2他] とりちがえる
目光/瞳孔/眸子[名] ひとみ
这样地/这样[连] こうして
