有分量的/沉甸甸的/稳重[副] どっしり
饿/空腹[形1] ひもじい
觉察/猜测到[気取る][动1他] けどる
痛苦/不快[つらい目][名] つらいめ
若无其事/毫不在意[形1] さりげない
理由/缘故[名] ゆえ
议论纷纷/挑剔/杂[形1] やかましい
华丽/灿烂夺目[形2] きらびやか
学艺/文艺[学芸][名] がくげい
才气/才华[才気][名] さいき
规模/等级[名] スケール
着想/体谅/体贴[思いやる][动1他] おもいやる
彼此/互相[お互い][名] おたがい
意识到/觉悟[自覚][名/サ变他] じかく
典型[典型][名] てんけい
偶尔过路/迎面错过[行きずり][名] ゆきずり
支支吾吾/欲言又止/结结巴巴[口ごもる][动1自] くちごもる
害羞/害臊[恥じらう][动1自他] はじらう
无偿/免费[無償][名] むしょう
邻居/街坊/邻人[隣人][名] りんじん
基本思想/基调[基調][名] きちょう
国语[国語][名] こくご
价高/价格贵[値が張る] ねがはる
做出……表情/显出…样子[顔をする] かおをする
觉察/揣测[察する][サ变他] さっする
努力[努める][动2自] つとめる
下课/结业[終業][名] しゅうぎょう
铃声[名] ベル
家畜的主人[飼い主][名] かいぬし
尾巴[名] しっぽ
跑[駆け寄る][动1自] かけよる
推销[名] セールス
很久很久以前[昔々][名] むかしむかし
一见钟情[一目ぼれする][名/サ变自] ひとめぼれする
期待/盼望[待望][名/サ变他] たいぼう
同时/一下子/一块儿[一度に][副] いちどに
圣诞老人[名] サンタクロース
枕边[枕元][名] まくらもと
草丛/灌木丛[名] やぶ
装腔作势/冒充/以……自居[気取る][动1他] きどる
投稿[投稿する][名/サ变自他] とうこうする
赛歌会/业余歌手比赛[のど自慢大会][名] のどじまんたいかい
非凡的[非凡][形2] ひぼん
身体[身体][名] しんたい
犯/冒犯/奸污[犯す][动1他] おかす
