总辞职/集体辞职[総辞職](名/サ变自) そうじしょく
追进/赶进/逼入[追い込む](动1他) おいこむ
艺人[芸能人](名) げいのうじん
有名有实[花も実もある] はなもみもある
给某人脸上增光[花を持たせる] はなをもたせる
舍华求实[花より団子] はなよりだんご
假装/装模作样[気取り] きどり
标点符号/句号和逗号[句読点](名) くとうてん
作者[作者](名) さくしゃ
松开/松懈/放慢/放宽[緩める](动2他) ゆるめる
完全倒下[倒れ込む](动1自) たおれこむ
开支/支出/费用[出費](名) しゅっぴ
珍藏品/搜集/收藏(名) コレクション
人品/人格[人柄](名) ひとがら
关怀/关心[心遣い](名) こころづかい
孟兰盆会[お盆](名) おぼん
出产/生产[産出する](名/サ变他) さんしゅつする
产油国[産油国](名) さんゆこく
挖尽[堀り尽くす](动1他) ほりつくす
潮力[潮力](名) ちょうりょく
地热[地熱](名) ちねつ
路旁/路边[道端](名) みちばた
摘[摘む](动1他) つむ
野草[野草](名) やそう
不巧(副) あいにく
病房[病室](名) びょうしつ
公益活动(名) フィランソロピー
支付[支給する](名/サ变他) しきゅうする
决赛/正式选拔赛[本選](名) ほんせん
过程[過程](名) かてい
往年/例年[例年](名) れいねん
要点/重要事项[要項](名) ようこう
上传/上载(名/サ变他) アップロードする
规定/指定[所定](名) しょてい
格式[書式](名) しょしき
添上/附上[添付する](名/サ变他) てんぷする
同感/赞同[同感](名/サ变自) どうかん
配音[吹き替え](名) ふきかえ
台词/道白[台詞](名) せりふ
好歹/总算/设法(副) どうにか
故事情节/故事(名) ストーリー
滚转/倒下/扔着[転がる](动1自) ころがる
外语培训学院[語学学院](名) ごがくがくいん
中级[中級](名) ちゅうきゅう
语法上[文法的](形2) ぶんぽうてき
不愉快/不高兴[不愉快](形2) ふゆかい
晚辈/部下[目下](名) めした
开朗/爽朗/欢乐[陽気](名/形2) ようき
