谈论/交谈[語り合う](动1他) かたりあう
夹杂/交/交换[交える](动2他) まじえる
这样(副) こうやって
接收信息[受信する](サ变他) じゅしんする
通过……/介于……之间[介する](サ变他) かいする
双方[双方](名) そうほう
刷新/复习(名/サ变他) ブラッシュアップする
某种/不知为什么/总觉得[何かしら](副) なにかしら
只/单/只不过[単なる](连体) たんなる
倾听/安静地听[清聴](名) せいちょう
听惯/听熟[耳が慣れる] みみがなれる
有…欲望[欲が出る] よくがでる
投缘/合得来[気が合う] きがあう
指手画脚[身振り手振り] みぶりてぶり
亲身/亲自[身をもって] みをもって
安抚/抚慰(动2他) なだめる
刺激[刺激する](名/サ变他) しげきする
特点/特性/特征[特質](名) とくしつ
暖冬[暖冬](名) だんとう
现实社会[実社会](名) じっしゃかい
方便[便宜](名) べんぎ
条纹(名) ストライプ
一个原因[一因](名) いちいん
南国[南国](名) なんごく
听起来/听上去[聞こえ](名) きこえ
底[底](名) そこ
散漫/马马虎虎/松懈(形2) ルーズ
彼此关系如水火[犬猿の仲] けんえんのなか
好听的/顺耳的[聞こえのいい] きこえのいい
估计/斟酌/瞧着[見計らう](动1他) みはからう
恩人[恩人](名) おんじん
徘徊/彷徨(副) うろうろ
不完整的话语/片言只语[片言](名) かたこと
四下张望[目配り](名/サ变自) めくばり
久保[久保](专) くぼ
高田[高田](专) たかだ
空地[空き地](名) あきち
歇息/休息[憩う](动1自) いこう
福利/福祉[福祉](名) ふくし
痛快地/尽情地[思いっきり](副) おもいっきり
到处跑[走り回る](动1自) はしりまわる
冬季[冬季](名) とうき
暂停/停顿(名) ポーズ
同业界/工商界[業界](名) ぎょうかい
连手带脚/亲自[手取り足取り] てとりあしとり
看看模仿[見よう見まね] みようみまね
