绕/缠住(絡む) からむ
**鲜明/漂亮(鮮やか) あざやか
平静/温和(和やか) なごやか
招待/请客 もてなす
吹捧/怂恿 おだてる
压力/强制 プレッシャー
充电/收费 チャージ
*草率/马虎(大まか) おおまか
很大/极多(多大) ただい
结成一体(结びつく) むすびつく
互相接触(触れ合う) ふれあう
大体/大概 おおよそ
逞威风(威張る) いばる
干脆/爽快 はきはき
善良 ぜんりょう
不断/不停/总是(絶えず) たえず
约会(全称) アポイントメント
入职培训/方向/定位/说明会/介绍会 オリエンテーション
彩排/排练 リハーサル
鼓/突起/气势增高(盛り上がる) もりあがる
低着头 うつむいて
肿胀(腫れる) はれる
岁末/年底(暮れ) くれ
余额(残高) ざんだか
**险峻(険しい) けわしい
依赖/依靠(寄りかかる) よりかかる
*拍子/节奏 テンポ
接连出现/不断出现(続出) ぞくしゅつ
是否赞成(賛否) さんぴ
劝说(勧誘) かんゆう
经济 エコノミー
罢工 ストライキ
指示/命令(指図する) さしずする
*垂直(垂直) すいちょく
推/下压 プッシュ
*缩小/收缩(縮む) ちぢむ
**逊色/比不上(劣る) おとる
*胡说八道/不着边际 でたらめ
吵闹/嘈杂 さわがしい
*勇敢/雄壮/振奋人心(勇ましい) いさましい
相等(等しい) ひとしい
