*微弱/模糊(微か) かすか
危险/不安定(物騒) ぶっそう
散漫/衣冠不整/没出息 だらしない
当场/立刻(即座に) そくざに
尽/到头(尽きる) つきる
啰嗦/油腻 くどい
**削/削减(削る) けずる
胆怯/胆小(臆病) おくびょう
很早/已经 とっくに
惊慌(慌てる) あわてる
顶点(頂上) ちょうじょう
机枪(機銃) きじゅう
空虚/徒然(虚しい) むなしい
可疑/神秘(怪しい) あやしい
举行(催す) もよおす
硬币(硬貨) こうか
错误error エラー
歇息(息抜きする) いきぬきする
走运 ついている
生锈 さびる
模范(模範) もはん
缩短/蜷缩(縮める) ちぢめる
流利/顺畅smooth スムーズ
耐性(根気) こんき
意外/想不到(思いがけない) おもいがけない
活泼(生き生き) いきいき
灵活(柔軟) じゅうなん
強火(強火) つよび
否认(打ち消す) うちけす
扣除(差し引く) さしひく
坏心眼(意地悪) いじわる
可怜(情けない) なさけない
没出息 だらしない
参照/参看(参照) さんしょう
冒烟(煙る) けむる
高兴/爽快(快い) こころよい
安装(取り付ける) とりつける
挽留(引き止める) ひきとめる
对手rival ライバル
再三/屡次 たびたび
直接(直に) じかに
