一步[一足](名) ひとあし
爸爸(名) パパ
母亲/妈妈/娘(名) おふくろ
婆母/岳母/养母/继母[お義母さん](名) おかあさん
参拜神社[お宮参り](名) おみやまいり
出租/租赁(名) レンタル
检索[検索する](名·サ变他) けんさくする
给…穿上衣服[着付け](名) きつけ
腰带(名) ベルト
变迁[変遷](名·サ变自) へんせん
经过/经历[経る](动2自) へる
围绕[取り巻く](动1他) とりまく
前开襟[前開き](名) まえびらき
前搭门[前合わせ](名) まえあわせ
确立/确定[確立する](名·サ变自他) かくりつする
末期[末期](名) まっき
陶俑/土俑[埴輪](名) はにわ
古墓[古墳](名) こふん
壁画[壁画](名) へきが
窄袖/简袖[筒袖](名) つつそで
上衣[上衣](名) うわぎ
卷摆裙子[巻き～](名) まきスカート
穿[着用する](名·サ变他) ちゃくようする
极为/极其/非常[極めて](副) きわめて
奈良时代[奈良時代](专) ならじだい
遣隋使[遣隋使](名) けんずいし
遣唐使[遣唐使](名) けんとうし
往来[往来](名·サ变自) おうらい
引进/迁入[移入](名·サ变他) いにゅう
宽敞舒适/舒畅(副) ゆったり
转变/改换[切り替わる](动1自) きりかわる
鼎盛时期/兴盛时期[最盛期](名) さいせいき
平安时代[平安時代](专) へいあんじだい
水土/风土[風土](名) ふうど
变迁[移り変わり](名) うつりかわり
生活样式/生活方式[生活様式](名) せいかつようしき
后期[後期](名) こうき
(公卿礼装)衣冠束带[衣冠束帯](名) いかんそくたい
正装/礼装/盛装[正装](名) せいそう
十二重(宫廷妇女的一种礼服)[十二単](名) じゅうにひとえ
完成/达到[遂げる](动2他) とげる
女儿节绢人[ひな人形](名) ひなにんぎょう
镰仓时代[鎌倉時代](专) かまくらじだい
华丽[華美](形2) かび
简朴[簡素](形2) かんそ
