例外[例外](名) れいがい
逐渐/慢慢[次第に](副) しだいに
二战后[戦後](名) せんご
活动[活動的](形2) かつどうてき
成人节/成人仪式/成人节典礼[成人式](名) せいじんしき
大多数/大部分[大半](名) たいはん
从事/有关系/参与/参加[携わる](动1自) たずさわる
刊行/发行/出版[刊行する](名·サ变他) かんこうする
灭绝/灭亡[滅びる](动2自) ほろびる
再次/第2次[二度と](副) にどと
复苏/复兴/复活(动1自) よみがえる
夏令节日/夏季祭祀[夏祭り](名) なつまつり
断绝/中断[途絶える](动2自) とだえる
古墓时代[古墳時代](专) こふんじだい
室町时代[室町時代](专) むろまちじだい
武士门第[武家](名) ぶけ
乐章[楽章](名) がくしょう
协议/谈判[協議](名·サ变他) きょうぎ
协议书[協定書](名) きょうていしょ
签订/签字[調印する](名·サ变自) ちょういんする
富山[富山](专) とやま
县署警察[県警](名) けんけい
脱身/逃走[逃走](名·サ变自) とうそう
最古老/最早/最旧[最古](名) さいこ
象形文字/图画文字[絵文字](名) えもじ
拟声词[擬声語](名) ぎせいご
拟态词[擬態語](名) ぎたいご
笃/笃(副) コンコン
盯盯地(副) じろじろ
耀眼/闪耀(副) きらきら
热腾腾的/热乎/热和(名·形2) ほかほか
肉包子[肉まん](名) にくまん
文不对题/前后不符(形2) とんちんかん
领口[襟元](名) えりもと
大洋/汪洋大海[大海原](名) おおうなばら
步履蹒跚/有气无力(副) とぼとぼ
溜达/信步而行(副) ぶらぶら
迟缓/慢吞吞(副) のろのろ
唠唠叨叨(副) がみがみ
嘟囔/牢骚(副) ぶつぶつ
保持稳定/聚精会神(副) じっと
拼命地/勤勤恳恳地(副) せっせと
赶快地/迅速地(副) さっさと
往旁处看[よそ見](名·サ变自) よそみ
黏糊糊/发黏(副) ねばねば
