粗糙/不光滑(副) ざらざら
着慌/不知所措(副) まごまご
急剧消瘦/灰心/失望(副) げっそり
出神/入迷(副) うっとり
提心吊胆/战战兢兢(副) おどおど
肥肥大大１(副) だぼだぼ
肥肥大大２(副) ぶかぶか
主张[主張](名·サ变他) しゅちょう
遗憾[遺憾](名·形2) いかん
事物改变的过程/经过[経過](名·サ变自) けいか
良好[良好](形2) りょうこう
出现/暴露[現れる](动2自) あらわれる
众议院[衆議院](名) しゅうぎいん
世论/舆论[世論](名) せろん
紧急按钮[非常～](名) ひじょうボタン
休息室/等候室[控え室](名) ひかえしつ
新娘[新婦](名) しんぷ
下年度[来年度](名) らいねんど
人才[人材](名) じんざい
培养/培育/培训/扶植[育成](名·サ变他) いくせい
加害者[加害者](名) かがいしゃ
罚则/惩罚条例[罰則](名) ばっそく
救济[救済する](名·サ变他) きゅうさいする
轨道[軌道](名) きどう
离开/脱落/不中[外れる](动2自) はずれる
闯进/误入[迷い込む](动1自) まよいこむ
悲惨/凄惨[悲惨](形2) ひさん
留心/注意[心がける](动2他) こころがける
人前/众人面前[人前](名) ひとまえ
第一天[初日](名) しょにち
挑选/抽出[抜き出す](动1他) ぬきだす
填/埋[埋める](动2他) うめる
自言自语[独り言](名) ひとりごと
解放[解放する](名·サ变他) かいほうする
新娘[花嫁](名) はなよめ
毕加索(专) ピカソ
本国[自国](名) じこく
优先[優先する](名·サ变自他) ゆうせんする
情义/情理/姻亲关系[義理](名) ぎり
人情[人情](名) にんじょう
电力[電力](名) でんりょく
专卖酒的店铺[酒屋](名) さかや
新年[新年](名) しんねん
抱负[抱負](名) ほうふ
保险[保険](名) ほけん
加入/参加[加入する](名·サ变自) かにゅうする
